wavelength_nm,absorption_coefficient_1/mm,scattering_coefficient_1/mm,reflectance_nd,transmittance_nd,reflectance_dark_american_negro_nd,reflectance_fair_complexioned_white_nd
4560,36.03,0.465,0.03,0.005,0.04,0.09
4570,35.43,0.465,0.03,0.005,0.04,0.09
4580,35.43,0.465,0.03,0.005,0.04,0.09
4590,35.43,0.465,0.03,0.005,0.04,0.09
4600,35.43,0.465,0.03,0.005,0.04,0.09
4610,35.43,0.465,0.03,0.005,0.04,0.09
4620,35.43,0.465,0.03,0.005,0.04,0.09
4630,35.43,0.465,0.03,0.005,0.04,0.09
4640,34.85,0.465,0.03,0.005,0.04,0.09
4650,34.85,0.465,0.03,0.005,0.04,0.09
4660,34.85,0.465,0.03,0.005,0.04,0.09
4670,34.85,0.465,0.03,0.005,0.04,0.09
4680,34.85,0.465,0.03,0.005,0.04,0.09
4690,34.85,0.465,0.03,0.005,0.04,0.09
4700,34.85,0.465,0.03,0.005,0.04,0.09
4710,34.85,0.465,0.03,0.005,0.04,0.09
4720,32.64,0.465,0.03,0.005,0.04,0.09
4730,32.64,0.465,0.03,0.005,0.04,0.09
4740,32.64,0.465,0.03,0.005,0.04,0.09
4750,32.64,0.465,0.03,0.005,0.04,0.09
4760,32.64,0.465,0.03,0.005,0.04,0.09
4770,32.64,0.465,0.03,0.005,0.04,0.09
4780,32.64,0.465,0.03,0.005,0.04,0.09
4790,31.58,0.465,0.03,0.005,0.04,0.09
4800,31.58,0.465,0.03,0.005,0.04,0.09
4810,31.58,0.465,0.03,0.005,0.04,0.09
4820,31.58,0.465,0.03,0.005,0.04,0.09
4830,31.58,0.465,0.03,0.005,0.04,0.09
4840,31.58,0.465,0.03,0.005,0.04,0.09
4850,31.58,0.465,0.03,0.005,0.04,0.09
4860,31.58,0.465,0.03,0.005,0.04,0.09
4870,31.06,0.465,0.03,0.005,0.04,0.09
4880,31.06,0.465,0.03,0.005,0.04,0.09
4890,31.06,0.465,0.03,0.005,0.04,0.09
4900,31.06,0.465,0.03,0.005,0.04,0.09
4910,31.06,0.465,0.03,0.005,0.04,0.09
4920,31.06,0.465,0.03,0.005,0.04,0.09
4930,31.06,0.465,0.03,0.005,0.04,0.09
4940,31.06,0.465,0.03,0.005,0.04,0.09
4950,29.09,0.465,0.03,0.005,0.04,0.09
4960,29.09,0.465,0.03,0.005,0.04,0.09
4970,29.09,0.465,0.03,0.005,0.04,0.09
4980,29.09,0.465,0.03,0.005,0.04,0.09
4990,29.09,0.465,0.03,0.005,0.04,0.09
5000,29.09,0.465,0.03,0.005,0.04,0.09
5010,29.09,0.465,0.03,0.005,0.04,0.09
5020,29.09,0.465,0.03,0.005,0.04,0.09
5030,28.15,0.465,0.03,0.005,0.04,0.09
5040,28.15,0.465,0.03,0.005,0.04,0.09
